production_date,shift,id_machine,packer,material,id_type,mould,type,jo_no,qty_perct,gross_weight,part_weight,shot,qty_order,wip_opening,wip_closing,shift_output,finish_good,inward,qty_accum,qty_balance,material_used,runner,reject_startup,reject_startup_per,reject_prod,reject_prod_per,act_ct,production_running,sap_ct, change_full_set , change_half_set , change_parts , maintenance_dt , technician_dt ,production_dt,remark,reject_purging,reject_preform,reject_total_pcs
1/7/2026,1,22,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,1,23,ASNULLAH,R-HDPE ASTERENE HXM 6007,580580,0,EBK38-2017-K-S-WHITE-PE(S2017),10698803,1,139.8,103,1293,20680,110,,1293,1320,135.96,17160,3520,133.179,47.5824,0,0,8,0.06006953,33,11.8525,33,,,,,0.1475,,Black dot.L.test.,,,77
1/7/2026,1,24,IRSAD,SM240,453796,0,AL2012-BK 38MM CAP (BLACK) C/W SEAL ASEM,10700491,16,4,3.5,1421,400000,44000,20000,22736,,0,,400000,79.576,11.368,,0,18,0.226198854,15.9,6.3,16,,,,,5.7,,Always mc stop blokage short moulding & flashing,11,,5142
1/7/2026,1,24,IRSAD,SM240,453796,0,AL2012-BK 38MM CAP (BLACK) C/W SEAL ASEM,10700491,16,4,3.5,0,0,56000,,0,56000,196,,0,0,0,0,,,,10,0,20.8,,,,,0,,Assy.,,,0
1/7/2026,1,25,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,1,26,RAIS,PET CAN,588272,0,JK57-0350-R-CL-KEKO,10699331,2,24,18,4277,91800,340,1360,8554,6120,110.16,,91800,153.972,0,0,0,12,0.077936248,7.4,8.8,6.8,,,,,3.2,,Body dented gate off center selver streak,,,666
1/7/2026,1,27,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,1,28,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,1,29,NA,MARLEX5502,645095,0,E44-3900-S-NA-FMC-HDPE,TESTING,2,317,190,,0,0,,0,,0,,0,0,0,0,,,,45,0,45,,,,,12,,Testing.,9,,0
1/7/2026,2,1,WIYAH,PET RECRON,322448,0,BCY28-0500-W-R-CL,10698738,4,40,40,1510,204120,810,324,6040,6480,259.2,48114,156006,241.6,0,0,0,6.5,0.026903974,27.4,11.5,23,,,,,0.5,,Lumphy.L.test,,,162
